ID,Organizadora,Cargo,Ano,Materia,Assunto,Enunciado,Gabarito,URL
1,"CEBRASPE (CESPE)","Ana Leg (CM Maceió)",2024,"","","Com relação à definição, aos objetivos, aos componentes e às limitações de efetividade do controle interno, julgue o item a seguir. O controle interno é um processo que contempla o plano da organização, acompanhado de métodos e medidas destinados a conduzi-la com segurança para o atingimento de seus objetivos empresariais.",Certo,"www.tecconcursos.com.br/questoes/2934924"
2,"CEBRASPE (CESPE)","Ana Leg (CM Maceió)",2024,"","","Em relação a conceito, tipos e formas de controle, bem como a controles interno e externo, julgue o item a seguir. O controle interno, que pode ser realizado pelo Poder Executivo, é também uma espécie de controle administrativo.",Certo,"www.tecconcursos.com.br/questoes/2934950"
3,"CEBRASPE (CESPE)","Ap Leg (CM Maceió)",2024,"","","No que se refere aos controles interno e externo, julgue o item que se segue. O controle interno é exercido pelo próprio órgão que realiza a atividade administrativa.",Certo,"www.tecconcursos.com.br/questoes/2935694"
4,"CEBRASPE (CESPE)","AFM (Pref Fortaleza)",2023,"","","Acerca do federalismo fiscal e do controle dos recursos públicos, julgue o item a seguir. Haja vista a complexidade das estruturas político-sociais de um país, o controle do gasto público deve restringir-se ao controle institucional, sem a participação social.",Errado,"www.tecconcursos.com.br/questoes/2588991"
5,"CEBRASPE (CESPE)","Ana (PGE RJ)",2022,"","","Julgue o item que se segue, acerca dos papéis de trabalho do auditor e do conjunto de regras e princípios que devem ser seguidos pela auditoria e pelo controle interno. Não se admite controle prévio na administração pública.",Errado,"www.tecconcursos.com.br/questoes/1990168"
6,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Julgue o item a seguir, quanto ao conceito, aos tipos e às formas de controle. No exercício de suas funções, a administração pública se sujeita ao controle executado pelos Poderes Legislativo e Judiciário, além de ela mesma exercer o controle sobre os próprios atos.",Certo,"www.tecconcursos.com.br/questoes/2007508"
7,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Julgue o item a seguir, quanto ao conceito, aos tipos e às formas de controle. O Congresso Nacional e o Senado Federal detêm competência privativa para apreciar a priori os atos do Poder Executivo.",Errado,"www.tecconcursos.com.br/questoes/2007509"
8,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Acerca dos controles interno e externo, julgue o item subsecutivo. O controle externo é aquele desempenhado por órgão apartado do controlado, tendo por finalidade a efetivação de mecanismos para garantir a plena eficácia das ações de gestão governamental.",Certo,"www.tecconcursos.com.br/questoes/2007511"
9,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Acerca dos controles interno e externo, julgue o item subsecutivo. O sistema de controle externo é hierarquicamente superior ao sistema de controle interno.",Errado,"www.tecconcursos.com.br/questoes/2007512"
10,"CEBRASPE (CESPE)","Sub Proc (MPCM PA)",2022,"","","Acerca do controle externo, assinale a opção correta.",C,"www.tecconcursos.com.br/questoes/2082878"